"Scientific_Name","Plot","Total_Weight","pXRF_measurement_ID","Cl_concentration","Ca_concentration","Ti_concentration","Cr_concentration","Mn_concentration","Fe_concentration","Ni_concentration","Cu_concentration","Zn_concentration","As_concentration","Se_concentration","Cd_concentration","Re_concentration","Substrate_RT"
"Bouteloua aristidoides","P5",0.369,"2379",796,2427,0,8.5,0,82.4,0,6.6,9.1,2.6,0,0,0,0.052721117
"Bouteloua curtipendula","P1",0.72,"2316",1515,4481,18.1,3.6,27.5,128,0,14.3,9.6,1.8,1.2,0,0,0.076255307
"Bouteloua curtipendula","P1",0.842,"2397",1506,3949,0,7.2,0,22.6,0,0,0,4.3,0.6,0,0,0.075488649
"Bouteloua curtipendula","P1",0.795,"2398",1342,3883,0,8.1,0,25.3,0,0,0,3.6,0.5,0,0,0.085685097
"Ceanothus greggii","P1",1.258,"2288",0,18577,0,0,45.4,89.5,3,13.7,13.4,0.5,0.9,0,0,0.095020145
"Ceanothus greggii","P1",1.533,"2289",0,20211,0,0,14.3,101,0,9.5,25.3,1.1,2.7,0,0,0.089524455
"Ceanothus greggii","P1",2.103,"2290",0,16495,0,0,0,103,0,11.2,9.3,1.1,1.7,11.4,2.9,0.103516109
"Ceanothus greggii","P5",0.613,"2291",0,20671,31.5,0,53.8,98.5,0,11.1,28.8,0.7,0.7,0,2.2,0.06664481
"Ceanothus greggii","P5",2.058,"2292",0,20571,0,0,81.2,110,0,21.2,14.7,0.5,0.5,0,0,0.108241051
"Ceanothus greggii","P5",1.53,"2293",0,16530,0,0,49.9,107,0,14.1,10.9,0.8,0.5,0,0,0.087717146
"cf. Boechera perennans","P6",0.3,"2256",372,24784,112,4.5,20.1,597,0,175,28.9,3.1,4.9,0,0,0.027182408
"cf. Boechera perennans","P6",0.385,"2257",0,26408,103,7.4,16.6,432,0,255,23.7,3.5,7.2,0,0,0.05488221
"cf. Boechera perennans","P6",0.773,"2258",0,21373,107,0,41.2,544,0,226,30.4,1.9,3.8,0,0,0.078945272
"cf. Boechera perennans","P6",0.189,"2416",621,21408,112,8.4,0,522,0,81.5,0,9.2,3.8,0,0,0.042923316
"Cynodon dactylon","P1",0.748,"2217",2776,5317,23.6,8.9,0,42.4,0,0,28.9,5.2,0.9,0,0,0.072756223
"Cynodon dactylon","P1",0.808,"2218",1620,4763,27.4,7.8,0,73.4,0,6.7,14.4,3.5,1.7,0,0,0.077764772
"Cynodon dactylon","P1",0.766,"2219",1088,4797,19.2,3.4,0,83.9,0,5.6,0,2.5,1.9,0,0,0.077212013
"Cynodon dactylon","P2",0.876,"2220",2804,4452,0,9.2,14.2,51.7,0,0,0,3.9,2.2,0,0,0.083066382
"Cynodon dactylon","P2",0.842,"2221",2401,3134,17.4,3.7,0,36.9,0,2.9,29.5,2.2,1.2,0,0,0.077725619
"Cynodon dactylon","P2",0.661,"2222",1729,2940,21.1,9.8,0,37.1,0,0,0,4.4,0.6,0,0,0.065008469
"Cynodon dactylon","P5",0.777,"2223",2807,4525,0,6,0,24.7,0,0,13.8,2.4,2,0,0,0.072389409
"Cynodon dactylon","P5",0.623,"2224",3015,5392,38,5,27.7,56.3,0,0,0,2.8,1.2,0,0,0.045760609
"Cynodon dactylon","P5",0.793,"2225",2299,4773,20.6,6.9,19.1,65.5,0,2.8,10.3,2.2,2,0,0,0.07160946
"Cynodon dactylon","P5",0.817,"2226",2159,4265,19.9,6.1,0,12.9,0,0,7.8,2.4,0.8,0,0,0.084641568
"Cynodon dactylon","P5",0.714,"2227",2153,3801,0,8,14.2,26,0,0,19.5,3.6,1,0,0,0.07878805
"Cynodon dactylon","P5",0.799,"2228",1948,6509,29.9,7.9,51.3,74,0,7.3,13.4,2.7,1.5,0,0,0.080150701
"Cynodon dactylon","P6",0.424,"2375",2208,2542,20.8,7.5,0,88.2,0,42.9,6.8,3.6,0.9,0,0,0.061274268
"Cynodon dactylon","P6",0.514,"2376",3204,3173,31.4,11.2,59.7,109,0,33.1,0,4.9,0,0,0,0.04224902
"Cynodon dactylon","P6",0.406,"2377",782,5655,24.4,4.8,21.4,114,0,24.8,6.3,2.2,4.1,0,0,0.029305777
"Dasylirion wheeleri","P1",1.672,"2394",997,12230,0,2.8,0,19.7,0,0,4,2.3,1.3,7,0,0.096901171
"Dasylirion wheeleri","P1",1.119,"2395",0,9127,0,2.9,0,18.3,0,0,14.3,1.4,0.7,0,0,0.090076216
"Dasylirion wheeleri","P1",1.222,"2396",0,13802,25.8,4.5,0,26.1,0,0,0,2.7,2,0,0,0.099299938
"Dasyochloa pulchella","P2",0.471,"2108",764,2583,64.8,4.6,0,417,0,0,0,3.7,0,0,0,0.028062597
"Dasyochloa pulchella","P1",0.33,"2109",945,3007,60.3,0,0,407,0,0,7.6,3.6,1.4,0,0,0.034774445
"Dasyochloa pulchella","P2",0.434,"2110",745,2655,86.4,0,21.8,667,0,28.8,10.6,1.2,0.8,0,1.8,0.030571375
