"Scientific_Name","Plot","Total_Weight","pXRF_measurement_ID","Cl_concentration","Ca_concentration","Ti_concentration","Cr_concentration","Mn_concentration","Fe_concentration","Ni_concentration","Cu_concentration","Zn_concentration","As_concentration","Se_concentration","Cd_concentration","Re_concentration","Substrate_RT"
"Solanum elaeagnifolium","P2",0.767,"2173",2387,22002,72,3.5,0,278,0,14.3,5.2,3.8,1.3,0,3.3,0.063960969
"Solanum elaeagnifolium","P5",0.702,"2174",2288,27987,98.4,7,37.3,593,0,34.9,0,4.5,1.5,0,0,0.057675812
"Solanum elaeagnifolium","P5",0.343,"2175",1123,8683,50.4,7.4,0,235,0,5.4,0,4.6,0,0,0,0.032840394
"Solanum elaeagnifolium","P5",0.715,"2176",897,15381,55.6,5.9,0,266,0,12.4,9.7,5.2,0.5,0,0,0.055101551
"Solanum elaeagnifolium","P5",0.777,"2177",1123,13882,43.3,0,0,279,0,17.1,3.9,3.8,0.4,0,0,0.0531567
"Solanum elaeagnifolium","P5",0.63,"2178",2249,19326,31.7,10.2,0,202,0,6.4,0,6.3,0,0,0,0.053376161
"Solanum elaeagnifolium","P6",0.106,"2179",1164,8524,93.1,16.8,0,310,0,0,0,7.6,0,0,0,0.017827697
"Solanum elaeagnifolium","P6",0.225,"2180",794,11684,59.3,11.4,0,292,0,0,0,6.3,0,0,0,0.031142905
"Solanum elaeagnifolium","P1",0.808,"2188",4956,8979,0,0,11,69.4,0,16.4,21.6,0.7,0.8,0,7.7,0.049163099
"Sphaeralcea cf. ambigua","P5",0.178,"2253",437,13028,67.4,10.3,0,407,0,22.3,0,3,0.8,0,0,0.027880844
"Sphaeralcea cf. ambigua","P5",0.681,"2254",3662,19760,50,5.8,14.2,311,0,46.5,28.4,2.2,1.1,0,0,0.052933898
"Sphaeralcea cf. ambigua","P5",0.744,"2255",1930,20872,43.6,4.4,32.7,251,0,35.6,40.8,1.5,0.9,0,0,0.057452891
"Tamarix chinesis","P2",1.269,"2153",2792,27101,0,0,18.5,83.9,0,59.7,19.8,2.4,19.7,0,1.6,0.083508298
"Tamarix chinesis","P6",1.8,"2419",4494,44255,0,0,0,78.8,0,72.8,27.4,2,6.2,0,0,0.092458218
"Xanthisma gracile","P1",0.125,"2320",2179,14164,82.2,24,0,492,0,10.4,0,9.8,2.4,0,0,0.029787619
"Xanthisma gracile","P1",0.736,"2321",2338,14210,44.9,3.9,23.5,202,0,56.5,35,1.4,1.2,0,0,0.075547069
"Xanthisma gracile","P2",0.286,"2322",2260,9379,33.2,5.6,29.2,83.3,0,42.9,38,3.5,0.9,0,0,0.039957896
"Xanthisma gracile","P2",0.654,"2323",1545,14295,34.2,4.6,26.7,165,0,23.3,82.3,1.7,1.4,0,1.4,0.075518996
"Xanthisma gracile","P2",0.727,"2324",1316,12626,39.6,0,76.6,155,0,67.9,59.7,1.6,0.4,0,0,0.073130116
"Xanthisma gracile","P5",0.37,"2325",2050,11870,42.7,9.5,0,158,0,80.7,24,4,0.8,0,0,0.050182145
"Xanthisma gracile","P5",0.775,"2326",1516,11623,0,0,13.8,57.6,0,10.5,48.7,1.1,0.7,0,1.3,0.066785745
"Xanthisma gracile","P5",0.421,"2327",1098,15873,39,2.9,36.2,263,0,76.2,3.2,2.1,1.9,0,0,0.045505285
"Xanthisma gracile","P6",0.549,"2328",1399,13058,59,3.5,29.5,201,0,133,31.8,1.3,1.3,0,0,0.073685974
"Xanthisma gracile","P6",0.726,"2329",1451,12342,92.9,7.2,28.2,85.7,0,34.9,23.6,2.9,1.2,0,0,0.060510654
"Xanthisma gracile","P6",0.517,"2331",896,15248,132,6.3,79.9,450,3.3,556,39.1,2.4,1.8,0,0,0.072950237
"Xanthisma gracile","P6",0.439,"2332",684,12857,160,3.4,95.9,276,0,384,37,2,1,0,0,0.039212562
"Xanthisma gracile","P6",0.96,"2413",1727,13720,80.4,0,0,81.8,0,31.6,8.7,2.5,1.2,0,0,0.064420514
"Yucca elata","P1",1.017,"2391",1182,13108,0,0,0,43.3,0,0,12.4,3.4,1.1,0,0,0.070870668
"Yucca elata","P1",1.401,"2392",874,4808,0,3.1,0,27.7,0,0,11.1,1.2,1.5,0,0,0.109211393
"Yucca elata","P1",1.049,"2393",0,8447,0,2.6,0,49,0,0,0,1.7,2.1,0,0,0.098067127
